tick,ep,t,x,y,z,roll,pitch,yaw,u0,u1,u2,u3,goal,gates
91,0,0.4550,-8.0669,5.8567,2.1340,-0.0387,-0.0204,1.7231,0.4170,-0.5830,0.4170,-0.5830,0,0
92,0,0.4600,-8.0667,5.8568,2.1302,-0.0379,-0.0196,1.7265,0.4170,-0.5830,0.4170,-0.5830,0,0
93,0,0.4650,-8.0666,5.8569,2.1266,-0.0371,-0.0187,1.7319,0.4170,0.0533,0.4170,0.0547,0,0
94,0,0.4700,-8.0664,5.8570,2.1231,-0.0362,-0.0181,1.7320,-0.5830,0.4170,-0.5830,0.4170,0,0
95,0,0.4750,-8.0663,5.8571,2.1195,-0.0352,-0.0175,1.7271,-0.5830,0.4170,-0.5830,0.4170,0,0
96,0,0.4800,-8.0662,5.8572,2.1162,-0.0341,-0.0171,1.7208,0.1626,0.4133,0.1571,0.4170,0,0
97,0,0.4850,-8.0661,5.8573,2.1129,-0.0332,-0.0165,1.7196,0.4170,-0.5830,0.4170,-0.5830,0,0
98,0,0.4900,-8.0660,5.8573,2.1095,-0.0324,-0.0158,1.7237,0.4170,-0.5830,0.4170,-0.5830,0,0
99,0,0.4950,-8.0659,5.8574,2.1064,-0.0315,-0.0150,1.7284,0.4170,0.2706,0.4170,0.2735,0,0
100,0,0.5000,-8.0658,5.8574,2.1034,-0.0306,-0.0144,1.7280,-0.5830,0.4170,-0.5830,0.4170,0,0
101,0,0.5050,-8.0658,5.8575,2.1003,-0.0296,-0.0139,1.7225,-0.5830,0.4170,-0.5830,0.4170,0,0
102,0,0.5100,-8.0657,5.8575,2.0975,-0.0287,-0.0136,1.7166,0.3582,0.4150,0.3474,0.4170,0,0
103,0,0.5150,-8.0657,5.8576,2.0947,-0.0278,-0.0130,1.7159,0.4170,-0.5830,0.4170,-0.5830,0,0
104,0,0.5200,-8.0656,5.8576,2.0919,-0.0270,-0.0124,1.7204,0.4170,-0.5830,0.4170,-0.5830,0,0
105,0,0.5250,-8.0656,5.8576,2.0893,-0.0262,-0.0117,1.7249,0.4170,0.3997,0.4170,0.4026,0,0
106,0,0.5300,-8.0656,5.8576,2.0868,-0.0253,-0.0112,1.7243,-0.5830,0.4170,-0.5830,0.4170,0,0
107,0,0.5350,-8.0656,5.8577,2.0843,-0.0244,-0.0108,1.7185,-0.5830,0.4170,-0.5830,0.4170,0,0
108,0,0.5400,-8.0656,5.8577,2.0821,-0.0235,-0.0105,1.7129,0.4170,0.3864,0.4061,0.3893,0,0
109,0,0.5450,-8.0656,5.8577,2.0798,-0.0226,-0.0101,1.7124,0.4170,-0.5830,0.4170,-0.5830,0,0
110,0,0.5500,-8.0656,5.8577,2.0776,-0.0218,-0.0095,1.7170,0.4170,-0.5830,0.4170,-0.5830,0,0
111,0,0.5550,-8.0656,5.8577,2.0756,-0.0211,-0.0090,1.7217,0.3549,0.3464,0.3415,0.3466,0,0
112,0,0.5600,-8.0657,5.8577,2.0736,-0.0204,-0.0087,1.7212,-0.5830,0.4170,-0.5830,0.4170,0,0
113,0,0.5650,-8.0657,5.8576,2.0717,-0.0195,-0.0084,1.7155,-0.5830,0.4170,-0.5830,0.4170,0,0
114,0,0.5700,-8.0657,5.8576,2.0699,-0.0188,-0.0082,1.7101,0.3206,0.2820,0.3086,0.2822,0,0
115,0,0.5750,-8.0658,5.8576,2.0682,-0.0181,-0.0079,1.7098,0.4170,-0.5830,0.4170,-0.5830,0,0
116,0,0.5800,-8.0658,5.8576,2.0664,-0.0174,-0.0075,1.7146,0.4170,-0.5830,0.4170,-0.5830,0,0
117,0,0.5850,-8.0659,5.8576,2.0649,-0.0168,-0.0071,1.7193,0.2436,0.2565,0.2335,0.2549,0,0
118,0,0.5900,-8.0659,5.8575,2.0633,-0.0162,-0.0069,1.7189,-0.5830,0.4170,-0.5830,0.4170,0,0
119,0,0.5950,-8.0660,5.8575,2.0618,-0.0155,-0.0067,1.7134,-0.5830,0.4170,-0.5830,0.4170,0,0
120,0,0.6000,-8.0660,5.8575,2.0604,-0.0149,-0.0065,1.7081,0.2438,0.1882,0.2346,0.1869,0,0
121,0,0.6050,-8.0661,5.8574,2.0591,-0.0143,-0.0063,1.7080,0.4170,-0.5830,0.4170,-0.5830,0,0
122,0,0.6100,-8.0662,5.8574,2.0577,-0.0137,-0.0060,1.7130,0.4170,-0.5830,0.4170,-0.5830,0,0
123,0,0.6150,-8.0663,5.8573,2.0565,-0.0132,-0.0058,1.7177,0.1431,0.1881,0.1354,0.1859,0,0
124,0,0.6200,-8.0664,5.8573,2.0553,-0.0127,-0.0056,1.7173,-0.5830,0.4170,-0.5830,0.4170,0,0
125,0,0.6250,-8.0664,5.8573,2.0542,-0.0121,-0.0054,1.7118,-0.5830,0.4170,-0.5830,0.4170,0,0
126,0,0.6300,-8.0665,5.8572,2.0531,-0.0116,-0.0053,1.7067,0.1945,0.1042,0.1875,0.1023,0,0
127,0,0.6350,-8.0666,5.8572,2.0521,-0.0111,-0.0051,1.7068,0.4170,-0.5830,0.4170,-0.5830,0,0
128,0,0.6400,-8.0667,5.8571,2.0510,-0.0107,-0.0049,1.7120,0.4170,-0.5830,0.4170,-0.5830,0,0
129,0,0.6450,-8.0668,5.8571,2.0501,-0.0102,-0.0047,1.7167,0.0438,0.1423,0.0378,0.1401,0,0
130,0,0.6500,-8.0669,5.8570,2.0492,-0.0098,-0.0046,1.7163,-0.5830,0.4170,-0.5830,0.4170,0,0
131,0,0.6550,-8.0670,5.8569,2.0483,-0.0093,-0.0045,1.7107,-0.5830,0.4170,-0.5830,0.4170,0,0
132,0,0.6600,-8.0671,5.8569,2.0475,-0.0089,-0.0044,1.7059,0.1786,0.0228,0.1732,0.0207,0,0
133,0,0.6650,-8.0672,5.8568,2.0467,-0.0085,-0.0042,1.7062,0.4170,-0.5830,0.4170,-0.5830,0,0
134,0,0.6700,-8.0673,5.8568,2.0460,-0.0081,-0.0040,1.7117,0.4170,-0.5830,0.4170,-0.5830,0,0
135,0,0.6750,-8.0674,5.8567,2.0453,-0.0078,-0.0039,1.7162,-0.0686,0.1231,-0.0734,0.1211,0,0
136,0,0.6800,-8.0676,5.8566,2.0446,-0.0074,-0.0038,1.7156,-0.5830,0.4170,-0.5830,0.4170,0,0
137,0,0.6850,-8.0677,5.8566,2.0439,-0.0070,-0.0037,1.7098,-0.5830,0.4170,-0.5830,0.4170,0,0
138,0,0.6900,-8.0678,5.8565,2.0433,-0.0066,-0.0036,1.7054,0.2094,-0.0667,0.2052,-0.0688,0,0
139,0,0.6950,-8.0679,5.8564,2.0427,-0.0063,-0.0035,1.7062,0.4170,-0.5830,0.4170,-0.5830,0,0
140,0,0.7000,-8.0680,5.8564,2.0421,-0.0060,-0.0033,1.7121,0.4170,-0.5830,0.4170,-0.5830,0,0
141,0,0.7050,-8.0681,5.8563,2.0416,-0.0057,-0.0032,1.7162,-0.2171,0.1399,-0.2212,0.1384,0,0
142,0,0.7100,-8.0683,5.8562,2.0411,-0.0054,-0.0031,1.7151,-0.5830,0.4170,-0.5830,0.4170,0,0
143,0,0.7150,-8.0684,5.8562,2.0406,-0.0050,-0.0030,1.7089,-0.5830,0.4170,-0.5830,0.4170,0,0
144,0,0.7200,-8.0685,5.8561,2.0402,-0.0048,-0.0030,1.7052,0.3122,-0.1825,0.3090,-0.1847,0,0
145,0,0.7250,-8.0686,5.8560,2.0397,-0.0045,-0.0029,1.7067,0.4170,-0.5830,0.4170,-0.5830,0,0
146,0,0.7300,-8.0688,5.8559,2.0393,-0.0042,-0.0027,1.7133,0.4170,-0.5830,0.4170,-0.5830,0,0
147,0,0.7350,-8.0689,5.8559,2.0389,-0.0040,-0.0026,1.7165,-0.4420,0.2121,-0.4455,0.2112,0,0
148,0,0.7400,-8.0690,5.8558,2.0385,-0.0037,-0.0025,1.7146,-0.5830,0.4170,-0.5830,0.4170,0,0
149,0,0.7450,-8.0692,5.8557,2.0382,-0.0034,-0.0025,1.7076,-0.5830,0.4170,-0.5830,0.4170,0,0
150,0,0.7500,-8.0693,5.8556,2.0378,-0.0032,-0.0024,1.7051,0.4170,-0.4782,0.4170,-0.4817,0,0
151,0,0.7550,-8.0694,5.8555,2.0375,-0.0030,-0.0023,1.7078,0.4170,-0.5830,0.4170,-0.5830,0,0
152,0,0.7600,-8.0696,5.8555,2.0372,-0.0027,-0.0022,1.7157,0.4170,-0.5830,0.4170,-0.5830,0,0
153,0,0.7650,-8.0697,5.8554,2.0369,-0.0025,-0.0020,1.7184,-0.5830,0.4170,-0.5830,0.4170,0,0
154,0,0.7700,-8.0698,5.8553,2.0366,-0.0023,-0.0019,1.7160,-0.5830,0.4170,-0.5830,0.4170,0,0
155,0,0.7750,-8.0700,5.8552,2.0363,-0.0020,-0.0018,1.7084,-0.5830,0.4170,-0.5830,0.4170,0,0
156,0,0.7800,-8.0701,5.8551,2.0360,-0.0018,-0.0017,1.7060,0.4170,-0.5830,0.4170,-0.5830,0,0
157,0,0.7850,-8.0702,5.8551,2.0358,-0.0015,-0.0016,1.7087,0.4170,-0.5830,0.4170,-0.5830,0,0
158,0,0.7900,-8.0704,5.8550,2.0355,-0.0013,-0.0015,1.7165,0.4170,-0.5830,0.4170,-0.5830,0,0
159,0,0.7950,-8.0705,5.8549,2.0353,-0.0011,-0.0014,1.7192,-0.5830,0.4170,-0.5830,0.4170,0,0
160,0,0.8000,-8.0706,5.8548,2.0351,-0.0008,-0.0013,1.7168,-0.5830,0.4170,-0.5830,0.4170,0,0
161,0,0.8050,-8.0708,5.8547,2.0348,-0.0006,-0.0012,1.7092,-0.5830,0.4170,-0.5830,0.4170,0,0
162,0,0.8100,-8.0709,5.8546,2.0346,-0.0004,-0.0011,1.7068,0.4170,-0.5830,0.4170,-0.5830,0,0
163,0,0.8150,-8.0710,5.8545,2.0345,-0.0001,-0.0010,1.7095,0.4170,-0.5830,0.4170,-0.5830,0,0
164,0,0.8200,-8.0712,5.8545,2.0343,0.0001,-0.0009,1.7174,0.4170,-0.5830,0.4170,-0.5830,0,0
165,0,0.8250,-8.0713,5.8544,2.0341,0.0003,-0.0008,1.7201,-0.5830,0.4170,-0.5830,0.4170,0,0
166,0,0.8300,-8.0715,5.8543,2.0340,0.0006,-0.0007,1.7176,-0.5830,0.4170,-0.5830,0.4170,0,0
167,0,0.8350,-8.0716,5.8542,2.0338,0.0008,-0.0005,1.7101,-0.5830,0.4170,-0.5830,0.4170,0,0
168,0,0.8400,-8.0717,5.8541,2.0337,0.0011,-0.0004,1.7076,0.4170,-0.5830,0.4170,-0.5830,0,0
169,0,0.8450,-8.0719,5.8540,2.0336,0.0013,-0.0003,1.7103,0.4170,-0.5830,0.4170,-0.5830,0,0
170,0,0.8500,-8.0720,5.8539,2.0335,0.0015,-0.0002,1.7182,0.4170,-0.5830,0.4170,-0.5830,0,0
171,0,0.8550,-8.0721,5.8539,2.0334,0.0018,-0.0001,1.7209,-0.5830,0.4170,-0.5830,0.4170,0,0
172,0,0.8600,-8.0723,5.8538,2.0333,0.0020,0.0000,1.7185,-0.5830,0.4170,-0.5830,0.4170,0,0
173,0,0.8650,-8.0724,5.8537,2.0332,0.0022,0.0001,1.7109,-0.5830,0.4170,-0.5830,0.4170,0,0
174,0,0.8700,-8.0725,5.8536,2.0332,0.0025,0.0003,1.7085,0.4170,-0.5830,0.4170,-0.5830,0,0
175,0,0.8750,-8.0727,5.8535,2.0331,0.0027,0.0004,1.7112,0.4170,-0.5830,0.4170,-0.5830,0,0
176,0,0.8800,-8.0728,5.8534,2.0331,0.0029,0.0005,1.7190,0.4170,-0.5830,0.4170,-0.5830,0,0
177,0,0.8850,-8.0729,5.8533,2.0331,0.0032,0.0006,1.7217,-0.5830,0.4170,-0.5830,0.4170,0,0
178,0,0.8900,-8.0731,5.8533,2.0331,0.0034,0.0007,1.7193,-0.5830,0.4170,-0.5830,0.4170,0,0
179,0,0.8950,-8.0732,5.8532,2.0331,0.0036,0.0008,1.7117,-0.5830,0.4170,-0.5830,0.4170,0,0
180,0,0.9000,-8.0733,5.8531,2.0331,0.0039,0.0010,1.7093,0.4170,-0.5830,0.4170,-0.5830,0,0
181,0,0.9050,-8.0734,5.8530,2.0331,0.0041,0.0011,1.7120,0.4170,-0.5830,0.4170,-0.5830,0,0
182,0,0.9100,-8.0736,5.8529,2.0331,0.0044,0.0011,1.7199,0.4170,-0.5830,0.4170,-0.5830,0,0
183,0,0.9150,-8.0737,5.8528,2.0332,0.0046,0.0012,1.7226,-0.5830,0.4170,-0.5830,0.4170,0,0
184,0,0.9200,-8.0738,5.8528,2.0332,0.0048,0.0014,1.7201,-0.5830,0.4170,-0.5830,0.4170,0,0
185,0,0.9250,-8.0739,5.8527,2.0333,0.0050,0.0015,1.7126,-0.5830,0.4170,-0.5830,0.4170,0,0
186,0,0.9300,-8.0741,5.8526,2.0334,0.0053,0.0017,1.7101,0.4170,-0.5830,0.4170,-0.5830,0,0
187,0,0.9350,-8.0742,5.8525,2.0335,0.0055,0.0018,1.7128,0.4170,-0.5830,0.4170,-0.5830,0,0
188,0,0.9400,-8.0743,5.8524,2.0336,0.0058,0.0018,1.7207,0.4170,-0.5830,0.4170,-0.5830,0,0
189,0,0.9450,-8.0744,5.8524,2.0337,0.0060,0.0019,1.7234,-0.5830,0.4170,-0.5830,0.4170,0,0
190,0,0.9500,-8.0745,5.8523,2.0339,0.0062,0.0021,1.7210,-0.5830,0.4170,-0.5830,0.4170,0,0
191,0,0.9550,-8.0747,5.8522,2.0340,0.0064,0.0022,1.7134,-0.5830,0.4170,-0.5830,0.4170,0,0
192,0,0.9600,-8.0748,5.8521,2.0342,0.0067,0.0024,1.7110,0.4170,-0.5830,0.4170,-0.5830,0,0
193,0,0.9650,-8.0749,5.8520,2.0343,0.0069,0.0025,1.7137,0.4170,-0.5830,0.4170,-0.5830,0,0
194,0,0.9700,-8.0750,5.8520,2.0345,0.0071,0.0025,1.7215,0.4170,-0.5830,0.4170,-0.5830,0,0
195,0,0.9750,-8.0751,5.8519,2.0347,0.0074,0.0026,1.7242,-0.5830,0.4170,-0.5830,0.4170,0,0
196,0,0.9800,-8.0752,5.8518,2.0349,0.0076,0.0028,1.7218,-0.5830,0.4170,-0.5830,0.4170,0,0
197,0,0.9850,-8.0753,5.8517,2.0351,0.0078,0.0030,1.7142,-0.5830,0.4170,-0.5830,0.4170,0,0
198,0,0.9900,-8.0754,5.8517,2.0353,0.0080,0.0031,1.7118,0.4170,-0.5830,0.4170,-0.5830,0,0
199,0,0.9950,-8.0755,5.8516,2.0356,0.0083,0.0032,1.7145,0.4170,-0.5830,0.4170,-0.5830,0,0
200,0,1.0000,-8.0756,5.8515,2.0358,0.0085,0.0033,1.7223,0.4170,-0.5830,0.4170,-0.5830,0,0
201,0,1.0050,-8.0757,5.8515,2.0361,0.0088,0.0034,1.7251,-0.5830,0.4170,-0.5830,0.4170,0,0
202,0,1.0100,-8.0758,5.8514,2.0364,0.0090,0.0035,1.7226,-0.5830,0.4170,-0.5830,0.4170,0,0
203,0,1.0150,-8.0759,5.8513,2.0366,0.0082,0.0050,1.7157,-0.5830,0.4170,-0.5473,0.1963,0,0
204,0,1.0200,-8.0760,5.8513,2.0369,0.0073,0.0098,1.7124,0.1342,-0.2536,0.4170,-0.5830,0,0
205,0,1.0250,-8.0761,5.8512,2.0372,0.0064,0.0145,1.7142,0.4170,-0.5813,0.4170,-0.5830,0,0
