dispatch_id,name,op,shape,cycles
205,add_33,add_s8,n=264960,11271445
206,layer_norm_23,layer_norm_s8,M=690;K=384,20077720
207,linear_49,linear_s8_pc,M=690;K=384;N=1536,6142840374
208,gelu_7,gelu_s8,n=1059840,153507374
209,linear_50,linear_s8_pc,M=690;K=1536;N=384,6114224622
210,add_34,add_s8,n=264960,11277166
211,layer_norm_24,layer_norm_s8,M=690;K=384,20102940
212,linear_51,linear_s8_pc,M=690;K=384;N=384,1535715857
213,transpose_40,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
214,linear_52,linear_s8_pc,M=690;K=384;N=384,1535715825
215,transpose_41,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
216,linear_53,linear_s8_pc,M=690;K=384;N=384,1535715846
217,transpose_42,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
218,matmul_16,matmul_b_s8,B=6;M=690;K=64;N=690,2736393893
219,add_35,add_tile_s8,OUTER=6;INNER=476100,68367322
220,softmax_8,softmax_s8,M=4140;K=690,646510812
221,matmul_17,matmul_b_s8,B=6;M=690;K=690;N=64,2210286838
222,transpose_44,permute4_s8,d0=1;d1=6;d2=690;d3=64;p0=0;p1=2;p2=1;p3=3,2960944
223,linear_54,linear_s8_pc,M=690;K=384;N=384,1535715817
224,add_36,add_s8,n=264960,11287240
225,layer_norm_25,layer_norm_s8,M=690;K=384,20073264
226,linear_55,linear_s8_pc,M=690;K=384;N=1536,6142840560
227,gelu_8,gelu_s8,n=1059840,141842331
228,linear_56,linear_s8_pc,M=690;K=1536;N=384,6114224633
229,add_37,add_s8,n=264960,11246361
230,layer_norm_26,layer_norm_s8,M=690;K=384,20097495
231,linear_57,linear_s8_pc,M=690;K=384;N=384,1535715829
232,transpose_45,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
233,linear_58,linear_s8_pc,M=690;K=384;N=384,1535715821
234,transpose_46,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
235,linear_59,linear_s8_pc,M=690;K=384;N=384,1535715835
236,transpose_47,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
237,matmul_18,matmul_b_s8,B=6;M=690;K=64;N=690,2736264133
238,add_38,add_tile_s8,OUTER=6;INNER=476100,68270578
239,softmax_9,softmax_s8,M=4140;K=690,651141924
240,matmul_19,matmul_b_s8,B=6;M=690;K=690;N=64,2210302128
241,transpose_49,permute4_s8,d0=1;d1=6;d2=690;d3=64;p0=0;p1=2;p2=1;p3=3,2960944
242,linear_60,linear_s8_pc,M=690;K=384;N=384,1535716018
243,add_39,add_s8,n=264960,11230441
244,layer_norm_27,layer_norm_s8,M=690;K=384,20038397
245,linear_61,linear_s8_pc,M=690;K=384;N=1536,6142840415
246,gelu_9,gelu_s8,n=1059840,132847681
247,linear_62,linear_s8_pc,M=690;K=1536;N=384,6114224621
248,add_40,add_s8,n=264960,11174302
249,layer_norm_28,layer_norm_s8,M=690;K=384,20030003
250,linear_63,linear_s8_pc,M=690;K=384;N=384,1535715818
251,transpose_50,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
252,linear_64,linear_s8_pc,M=690;K=384;N=384,1535715836
253,transpose_51,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
254,linear_65,linear_s8_pc,M=690;K=384;N=384,1535715845
255,transpose_52,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
256,matmul_20,matmul_b_s8,B=6;M=690;K=64;N=690,2736215899
257,add_41,add_tile_s8,OUTER=6;INNER=476100,68395336
258,softmax_10,softmax_s8,M=4140;K=690,645953156
259,matmul_21,matmul_b_s8,B=6;M=690;K=690;N=64,2210299350
260,transpose_54,permute4_s8,d0=1;d1=6;d2=690;d3=64;p0=0;p1=2;p2=1;p3=3,2960944
261,linear_66,linear_s8_pc,M=690;K=384;N=384,1535715824
262,add_42,add_s8,n=264960,11152532
263,layer_norm_29,layer_norm_s8,M=690;K=384,20022323
264,linear_67,linear_s8_pc,M=690;K=384;N=1536,6142840796
265,gelu_10,gelu_s8,n=1059840,128312147
266,linear_68,linear_s8_pc,M=690;K=1536;N=384,6114224625
267,add_43,add_s8,n=264960,11062927
268,layer_norm_30,layer_norm_s8,M=690;K=384,20018041
269,linear_69,linear_s8_pc,M=690;K=384;N=384,1535715844
270,transpose_55,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
271,linear_70,linear_s8_pc,M=690;K=384;N=384,1535715846
272,transpose_56,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
273,linear_71,linear_s8_pc,M=690;K=384;N=384,1535715858
274,transpose_57,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
275,matmul_22,matmul_b_s8,B=6;M=690;K=64;N=690,2736142908
276,add_44,add_tile_s8,OUTER=6;INNER=476100,67989536
277,softmax_11,softmax_s8,M=4140;K=690,650882038
278,matmul_23,matmul_b_s8,B=6;M=690;K=690;N=64,2210299019
279,transpose_59,permute4_s8,d0=1;d1=6;d2=690;d3=64;p0=0;p1=2;p2=1;p3=3,2960944
280,linear_72,linear_s8_pc,M=690;K=384;N=384,1535716028
281,add_45,add_s8,n=264960,11121755
282,layer_norm_31,layer_norm_s8,M=690;K=384,19943473
283,linear_73,linear_s8_pc,M=690;K=384;N=1536,6142840352
284,gelu_11,gelu_s8,n=1059840,119865790
285,linear_74,linear_s8_pc,M=690;K=1536;N=384,6114224714
286,add_46,add_s8,n=264960,10897100
287,layer_norm_32,layer_norm_s8,M=690;K=384,19891206
288,slice_5,slice_c_s8,N=1;IC=690;C_start=16;C_end=690;H=1;W=384,12735465
289,select,slice_c_s8,N=2;IC=337;C_start=336;C_end=337;H=1;W=384,37103
290,linear_75,linear_s8_pc,M=2;K=32;N=256,264283
291,linear_76,linear_s8_pc,M=2;K=384;N=256,2966616
292,add_47,add_s8,n=512,21902
293,linear_77,linear_s8_pc,M=2;K=28;N=256,232537
294,add_48,add_s8,n=512,21975
295,layer_norm_33,layer_norm_s8,M=2;K=256,39002
296,linear_78,linear_s8_pc,M=2;K=256;N=1024,7938137
297,sigmoid,sigmoid_s8,n=2048,232417
298,mul_20,mul_s8,n=2048,89845
299,linear_79,linear_s8_pc,M=2;K=1024;N=256,7882841
300,add_49,add_s8,n=512,21945
301,layer_norm_34,layer_norm_s8,M=2;K=256,38956
302,linear_80,linear_s8_pc,M=2;K=256;N=1024,7938137
303,sigmoid_1,sigmoid_s8,n=2048,232192
304,mul_21,mul_s8,n=2048,89866
305,linear_81,linear_s8_pc,M=2;K=1024;N=256,7882841
306,add_50,add_s8,n=512,21984
307,layer_norm_35,layer_norm_s8,M=2;K=256,38923
308,linear_82,linear_s8_pc,M=2;K=256;N=1024,7938137
309,sigmoid_2,sigmoid_s8,n=2048,233383
310,mul_22,mul_s8,n=2048,89054
311,linear_83,linear_s8_pc,M=2;K=1024;N=256,7882841
312,add_51,add_s8,n=512,21904
313,sigmoid_3,sigmoid_s8,n=512,60927
314,mul_23,mul_s8,n=512,22324
315,linear_84,linear_s8_pc,M=2;K=256;N=28,217144
