dispatch_id,name,op,shape,cycles
174,detect.cv3_0_0.conv,conv2d_s8,N=1;IC=64;IH=20;IW=20;OC=80;OH=20;OW=20;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,9460364
175,detect.cv3_0_0.bn,batchnorm2d_s8,N=1;C=80;H=20;W=20,41570
176,detect.cv3_0_0.act,silu_s8,n=32000,473145
177,detect.cv3_0_1.conv,conv2d_s8,N=1;IC=80;IH=20;IW=20;OC=80;OH=20;OW=20;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,11755968
178,detect.cv3_0_1.bn,batchnorm2d_s8,N=1;C=80;H=20;W=20,41706
179,detect.cv3_0_1.act,silu_s8,n=32000,473693
180,detect.cv3_0_2,conv2d_s8,N=1;IC=80;IH=20;IW=20;OC=80;OH=20;OW=20;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1999806
181,cat_13,cat2_c1_s8,N=1;H=20;W=20;C_inputs=64|80;C_total=144,88676
182,detect.cv2_1_0.conv,conv2d_s8,N=1;IC=128;IH=10;IW=10;OC=64;OH=10;OW=10;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,3698227
183,detect.cv2_1_0.bn,batchnorm2d_s8,N=1;C=64;H=10;W=10,9845
184,detect.cv2_1_0.act,silu_s8,n=6400,151287
185,detect.cv2_1_1.conv,conv2d_s8,N=1;IC=64;IH=10;IW=10;OC=64;OH=10;OW=10;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1862943
186,detect.cv2_1_1.bn,batchnorm2d_s8,N=1;C=64;H=10;W=10,9596
187,detect.cv2_1_1.act,silu_s8,n=6400,151437
188,detect.cv2_1_2,conv2d_s8,N=1;IC=64;IH=10;IW=10;OC=64;OH=10;OW=10;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,316800
189,detect.cv3_1_0.conv,conv2d_s8,N=1;IC=128;IH=10;IW=10;OC=80;OH=10;OW=10;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,5524506
190,detect.cv3_1_0.bn,batchnorm2d_s8,N=1;C=80;H=10;W=10,12074
191,detect.cv3_1_0.act,silu_s8,n=8000,171494
192,detect.cv3_1_1.conv,conv2d_s8,N=1;IC=80;IH=10;IW=10;OC=80;OH=10;OW=10;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,3470688
193,detect.cv3_1_1.bn,batchnorm2d_s8,N=1;C=80;H=10;W=10,11922
194,detect.cv3_1_1.act,silu_s8,n=8000,170766
195,detect.cv3_1_2,conv2d_s8,N=1;IC=80;IH=10;IW=10;OC=80;OH=10;OW=10;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,569190
196,cat_14,cat2_c1_s8,N=1;H=10;W=10;C_inputs=64|80;C_total=144,22440
