cell_id,family,pair,arm,solver,ok,solver_status,timed_out,returncode,makespan_pred_ms,num_operations,num_periodic_operations,total_busy_ms,wall_s,build_s,solve_s,mosek_time_s,mip_rel_gap,mip_best_obj,mip_best_bound,num_period_misses,worst_late_ms,util_CPU_P,util_CPU_E,busy_CPU_P_ms,busy_CPU_E_ms,n_CPU_P,n_CPU_E,hw_CPU_P,hw_CPU_E,failure_reason,error
shard__networks_saturation_gempair__greedy,saturation,gempair,shard,greedy,True,heuristic,,0,138.84204699999998,619,338,231.03731699999966,7.92960262298584,,,,,,,0,0.0,0.832014947892551,,231.0373170000002,,2,0,gemmini_q31,V256D128_rvv,,
shard__networks_saturation_gempair__greedy_periodic,saturation,gempair,shard,greedy_periodic,True,heuristic,,0,123.89171700000014,619,338,231.03731699999966,17.36674976348877,,,,,,,22,88.7070040000001,0.9324163172264368,,231.03731700000014,,2,0,gemmini_q31,V256D128_rvv,,
shard__networks_saturation_gempair__decomposed,saturation,gempair,shard,decomposed,True,heuristic,,0,140.13265199999995,619,338,231.03731699999966,5.493853569030762,,,,,,,9,2.575000000000003,0.824352189523967,,231.03731700000017,,2,0,gemmini_q31,V256D128_rvv,,
shard__networks_saturation_gempair__milp,saturation,gempair,shard,milp,False,,,,,,,,,,,,,,,,,,,,,0,0,,,not_attempted_budget,not_attempted_budget
shard__networks_saturation_hetero__greedy,saturation,hetero,shard,greedy,True,heuristic,,0,115.25249799999997,619,338,155.91361699999968,8.25195598602295,,,,,,,0,0.0,0.8779124249437096,0.4748879022127585,101.18160000000002,54.732017000000134,1,1,gemmini_q31,V256D128_rvv,,
shard__networks_saturation_hetero__greedy_periodic,saturation,hetero,shard,greedy_periodic,True,heuristic,,0,111.38486200000004,619,338,156.25761999999955,9.328415393829346,,,,,,,15,42.142854000000014,0.8870731464388759,0.5157891204282332,98.80652000000002,57.45110000000015,1,1,gemmini_q31,V256D128_rvv,,
shard__networks_saturation_hetero__decomposed,saturation,hetero,shard,decomposed,True,heuristic,,0,118.35234499999999,619,338,165.78039299999958,4.597537994384766,,,,,,,0,0.0,0.8790675419232298,0.5216684806710009,104.03970500000004,61.74068800000012,1,1,gemmini_q31,V256D128_rvv,,
shard__networks_saturation_hetero__milp,saturation,hetero,shard,milp,False,,,,,,,,,,,,,,,,,,,,,0,0,,,not_attempted_budget,not_attempted_budget
shard__networks_saturation_quad__greedy,saturation,quad,shard,greedy,True,heuristic,,0,68.38559099999999,549,268,136.96316899999977,19.864739894866943,,,,,,,0,0.0,0.6661676872837143,0.33523602216145226,91.11254199999996,45.85062700000002,2,2,gemmini_q31,V256D128_rvv,,
shard__networks_saturation_quad__greedy_periodic,saturation,quad,shard,greedy_periodic,True,heuristic,,0,64.71804399999996,549,268,136.3463719999997,24.936801195144653,,,,,,,19,38.81115699999995,0.671910788898379,0.38147682584473674,86.96950399999996,49.376867999999995,2,2,gemmini_q31,V256D128_rvv,,
