arm,family,pair,num_operations,ops_consistent,greedy_makespan_ms,greedy_periodic_makespan_ms,decomposed_makespan_ms,milp_makespan_ms,greedy_improvement_pct,greedy_periodic_improvement_pct,decomposed_improvement_pct,milp_improvement_pct,greedy_wall_s,greedy_periodic_wall_s,decomposed_wall_s,milp_wall_s,greedy_status,greedy_periodic_status,decomposed_status,milp_status,greedy_period_misses,greedy_periodic_period_misses,decomposed_period_misses,milp_period_misses,greedy_comparable,greedy_periodic_comparable,decomposed_comparable,milp_comparable,greedy_ops,greedy_periodic_ops,decomposed_ops,milp_ops,best_solver,best_improvement_pct
shard,control_mix,rvvpair,407,True,61.38442099999999,58.384786,59.343434000000016,,0.0,4.886638907940487,3.3249266943480222,,7.289653539657593,7.218700885772705,2.849456548690796,,heuristic,heuristic,heuristic,FAILED,1,5,0,,True,True,True,,407,407,407,,greedy_periodic,4.886638907940487
shard,depth_chain,gempair,298,True,590.1500289999999,590.1500289999999,590.1583069999998,589.7923299999994,0.0,0.0,-0.0014026941613358376,0.06061153646075308,2.205308198928833,2.195944309234619,2.26747727394104,26.859432458877563,heuristic,heuristic,heuristic,optimal,0,0,0,0,True,True,True,True,298,298,298,298,milp,0.06061153646075308
shard,depth_chain,hetero,298,True,431.27555499999977,431.27555499999977,430.9120559999997,430.8628789999976,0.0,0.0,0.08428462865233512,0.09568731527160017,2.140493154525757,2.131725311279297,2.142794370651245,17.739028215408325,heuristic,heuristic,heuristic,optimal,0,0,0,0,True,True,True,True,298,298,298,298,milp,0.09568731527160017
shard,depth_chain,quad,298,True,429.50886699999967,429.50886699999967,429.46864399999964,429.4686439999999,0.0,0.0,0.009364882331992905,0.009364882331926732,2.493859052658081,2.5067286491394043,2.5478296279907227,26.518695831298828,heuristic,heuristic,heuristic,optimal,0,0,0,0,True,True,True,True,298,298,298,298,decomposed,0.009364882331992905
shard,depth_chain,rvvpair,298,True,220.47534400000006,220.47534400000006,220.47534400000006,220.46115500000033,0.0,0.0,0.0,0.006435640259044918,2.2349960803985596,2.256355047225952,2.2933785915374756,138.0915126800537,heuristic,heuristic,heuristic,optimal_inaccurate,0,0,0,0,True,True,True,True,298,298,298,298,milp,0.006435640259044918
shard,depth_contended,gempair,430,True,270.95629599999995,270.95629599999995,235.53630700000002,,0.0,0.0,13.07221478994529,,4.620093107223511,4.778219938278198,2.8130433559417725,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,430,430,430,,decomposed,13.07221478994529
shard,depth_contended,hetero,430,True,111.32749899999997,112.90865399999996,82.83789999999998,,0.0,-1.4202735300826093,25.590801244892788,,3.9725770950317383,3.968757152557373,2.7755722999572754,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,430,430,430,,decomposed,25.590801244892788
shard,depth_contended,quad,430,True,94.673811,96.3575,69.49664400000003,,0.0,-1.7784105046748366,26.59359197022286,,6.554462909698486,6.490756273269653,3.0967509746551514,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,430,430,430,,decomposed,26.59359197022286
shard,depth_contended,rvvpair,430,True,129.31404600000005,133.03778500000004,92.250336,,0.0,-2.8796090720106253,28.661782031010016,,4.753524303436279,4.6765265464782715,2.808401346206665,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,430,430,430,,decomposed,28.661782031010016
shard,depth_nav,gempair,410,True,590.1500289999999,590.1500289999999,590.1583069999998,,0.0,0.0,-0.0014026941613358376,,3.0335607528686523,3.071497678756714,3.0678067207336426,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,410,410,410,,greedy,0.0
shard,depth_nav,hetero,410,True,431.27555499999977,431.27555499999977,430.9120559999997,,0.0,0.0,0.08428462865233512,,3.03212308883667,3.0012619495391846,2.785020112991333,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,410,410,410,,decomposed,0.08428462865233512
